
==================== [생태하천과] (총 39개 행) ====================
  idx= 5792 | 본예산      | 세부: 생활폐기물 청소관리                | 목: 공기관등에대한자본적위탁사업비 | 근거: Ο종량제 물품 위탁판매(자본)               | 식: 3,000,000원                | 3,000.000000천원
  idx= 5793 | 본예산      | 세부: 생활폐기물 위탁처리                | 목: 공공운영비           | 근거: Ο노면청소차량 보험료                    | 식: 2,000,000원*2대             | 4,000.000000천원
  idx= 5794 | 본예산      | 세부: 생활폐기물 위탁처리                | 목: 연구용역비           | 근거: Ο생활폐기물 대행업체 평가용역               | 식: 20,000,000원               | 20,000.000000천원
  idx= 5795 | 본예산      | 세부: 생활폐기물 위탁처리                | 목: 연구용역비           | 근거: Ο생활폐기물 대행수수료 원가산정 용역           | 식: 20,000,000원               | 20,000.000000천원
  idx= 5796 | 본예산      | 세부: 생활폐기물 위탁처리                | 목: 기타보상금           | 근거: Ο생활폐기물 대행업체 평가 우수업체 포상금        | 식: 5,000,000원                | 5,000.000000천원
  idx= 5797 | 본예산      | 세부: 생활폐기물 위탁처리                | 목: 민간위탁금           | 근거: Ο대형폐기물 수집 운반                   | 식: 8,618,306,000원            | 8,618,306.000000천원
  idx= 5798 | 본예산      | 세부: 생활폐기물 위탁처리                | 목: 민간위탁금           | 근거: Ο재활용 가능자원 광역수거                 | 식: 12,443,797,000원           | 12,443,797.000000천원
  idx= 5799 | 본예산      | 세부: 생활폐기물 위탁처리                | 목: 민간위탁금           | 근거: Ο노면청소                          | 식: 4,920,857,000원            | 4,920,857.000000천원
  idx= 5800 | 본예산      | 세부: 생활폐기물 위탁처리                | 목: 민간위탁금           | 근거: Ο생활폐기물 수집 운반 등                 | 식: 44,638,827,000원           | 44,638,827.000000천원
  idx= 5801 | 본예산      | 세부: 생활폐기물 위탁처리                | 목: 민간위탁금           | 근거: Ο생활폐기물(필름류 등) 처리               | 식: 1,367,000,000원            | 1,367,000.000000천원
  idx= 5802 | 본예산      | 세부: 생활폐기물 위탁처리                | 목: 공기관등에대한경상적위탁사업비 | 근거: Ο생활폐기물 수집운반 위탁사업(경상)           | 식: 1,935,977,000원            | 1,935,977.000000천원
