=== [민생경제과] 시스템: 45,194,563천원 | PDF목표: 33,194,563천원 | 차액: +12,000,000천원 ===
      예산구분                         세부사업명             통계목명                          산출근거명                       산출근거식   예산액_num       정산 상태
3741   본예산                   공정무역 활성화 지원            사무관리비                     Ο공정무역도시 인증               5,000,000원*1회      5000     ✅ 정산 포함
3742   본예산                   공정무역 활성화 지원         민간경상사업보조                 Ο공정무역 활성화 지원사업                 12,300,000원     12300     ✅ 정산 포함
3743   본예산      사회적기업 취약계층 인건비 지원(균특/지원)         민간경상사업보조          Ο(예비)사회적기업 일자리창출 지원사업                547,840,000원    547840     ✅ 정산 포함
3744   본예산               소비자 물가안정 및 권익강화            사무관리비             Ο소비자정책 심의위원회 참석 수당              100,000원*6명*4회      2400     ✅ 정산 포함
3745   본예산               소비자 물가안정 및 권익강화            사무관리비              Ο유통업상생발전협의회 참석 수당              100,000원*9명*2회      1800     ✅ 정산 포함
3746   본예산               소비자 물가안정 및 권익강화            사무관리비                      Ο계량기 정기검사                 48,000,000원     48000     ✅ 정산 포함
3747   본예산               소비자 물가안정 및 권익강화            사무관리비             Ο계량기 정기검사용 측정기 교정비               1,000,000원*1회      1000     ✅ 정산 포함
3748   본예산               소비자 물가안정 및 권익강화            사무관리비             Ο계량기 정기검사 흥보물 등 제작                  2,500,000원      2500     ✅ 정산 포함
3749   본예산               소비자 물가안정 및 권익강화            사무관리비         Ο대규모점포 개설등록 전문기관 자문수수료               5,500,000원*2회     11000     ✅ 정산 포함
3750   본예산               소비자 물가안정 및 권익강화            사무관리비      Ο대부업 안내 책자, 물가안정 등 홍보물 제작               1,500,000원*1건      1500     ✅ 정산 포함
3751   본예산               소비자 물가안정 및 권익강화        시책추진업무추진비               Ο소비자 물가안정대책 업무추진                  4,500,000원      4500     ✅ 정산 포함
3752   본예산               소비자 물가안정 및 권익강화            기타보상금                    Ο물가모니터요원 수당          50,000원*18명*2회*12월     21600     ✅ 정산 포함
3753   본예산               소비자 물가안정 및 권익강화         민간경상사업보조                         Ο소비자교육                  7,660,000원      7660     ✅ 정산 포함
3754   본예산               소비자 물가안정 및 권익강화      민간단체법정운영비보조                Ο민간소비자보호센터 상담지원                 62,480,000원     62480     ✅ 정산 포함
3755   본예산                 착한가격업소 활성화 지원            기타보상금                Ο착한가격업소 인센티브 지원                 65,774,000원     65774     ✅ 정산 포함
3756   본예산                   기본경비(민생경제과)            사무관리비                         Ο일반수용비         60,000원*15명*12월*90%      9720     ✅ 정산 포함
3757   본예산                   기본경비(민생경제과)            사무관리비                           Ο급식비           9,000원*15명*4일*12월      6480     ✅ 정산 포함
3758   본예산                   기본경비(민생경제과)            사무관리비                       Ο행정장비 운영                           -      7500     ✅ 정산 포함
3759   본예산                   기본경비(민생경제과)            사무관리비                           ο소모품              300,000원*5대*3회      4500  🔻 소계 중복 제외
3760   본예산                   기본경비(민생경제과)            사무관리비                          ο장비유지                  3,000,000원      3000  🔻 소계 중복 제외
3761   본예산                   기본경비(민생경제과)            사무관리비                 Ο홍보물 및 일간지 구독료                 90,000원*12월      1080     ✅ 정산 포함
3762   본예산                   기본경비(민생경제과)             국내여비                        Ο기본업무추진          10,000원*15명*4일*12월      7200     ✅ 정산 포함
3763   본예산                   기본경비(민생경제과)        부서운영업무추진비                        Ο20인 이하                300,000원*12월      3600     ✅ 정산 포함
3764   본예산                   기본경비(민생경제과)        직책급업무수행경비                            Ο5급             100,000원*1명*12월      1200     ✅ 정산 포함
3765  추경1회                   보전지출(민생경제과)         국고보조금반환금        Ο2024년 지역화폐 발행지원(균특/지원)                    238,460원       239     ✅ 정산 포함
3766  추경1회                   보전지출(민생경제과)         국고보조금반환금         Ο2024년 지역화폐 발행지원(정책사업)                 67,827,780원     67828     ✅ 정산 포함
3767  추경1회                   보전지출(민생경제과)         국고보조금반환금          Ο2024년 전통시장 노후전선 정비사업                 67,825,650원     67826     ✅ 정산 포함
3768  추경1회                   보전지출(민생경제과)         국고보조금반환금          Ο2019년 전통시장 청년상인 창업지원                 42,693,030원     42694     ✅ 정산 포함
3769  추경1회                   보전지출(민생경제과)       시ㆍ도비보조금반환금                Ο사회적경제 지역활성화 사업                    242,600원       243     ✅ 정산 포함
3770  추경1회                   보전지출(민생경제과)       시ㆍ도비보조금반환금          Ο사회적경제 중간지원조직 인력지원 사업                    738,380원       739     ✅ 정산 포함
3771  추경1회                   보전지출(민생경제과)       시ㆍ도비보조금반환금                 Ο공정무역 활성화 지원사업                        850원         1     ✅ 정산 포함
