
==================== [복지정책과] (총 169개 행) ====================
  idx= 2832 | 본예산      | 세부: 주거급여                      | 목: 사회보장적수혜금(국고보조재원) | 근거: Ο기초생활보장 주거급여                   | 식: 37,468,771,000원           | 37,468,771.000000천원
  idx= 2833 | 본예산      | 세부: 기초생활보장 교육급여               | 목: 교육기관에대한보조       | 근거: Ο기초생활보장 교육급여                   | 식: 156,192,000원              | 156,192.000000천원
  idx= 2834 | 본예산      | 세부: 국민기초생활수급자 기능교육비 지원        | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο기초생활보장수급자 기능교육비 지원            | 식: 96,000,000원               | 96,000.000000천원
  idx= 2835 | 본예산      | 세부: 기초생활보장 맞춤형급여 홍보 강화        | 목: 사무관리비           | 근거: Ο맞춤형급여 홍보비                     | 식: 2,000,000원                | 2,000.000000천원
  idx= 2836 | 본예산      | 세부: 기초생활보장 업무담당자 직무교육         | 목: 사무관리비           | 근거: Ο기초생활보장 업무담당자 직무교육             | 식: 1,500,000원                | 1,500.000000천원
  idx= 2837 | 추경1회     | 세부: 안전취약계층 난방비 지원             | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο안전취약계층 난방비 지원(성립전)            | 식: 763,800,000원              | 763,800.000000천원
  idx= 2838 | 본예산      | 세부: 노숙인 및 행려환자 지원             | 목: 사무관리비           | 근거: Ο행려환자 사망처리                     | 식: 2,600,000원                | 2,600.000000천원
  idx= 2839 | 본예산      | 세부: 노숙인 및 행려환자 지원             | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο노숙인 보호지원                      | 식: 300,000원                  |   300.000000천원
  idx= 2840 | 본예산      | 세부: 노숙인 및 행려환자 지원             | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο행려환자 사망자 장제비                  | 식: 3,200,000원                | 3,200.000000천원
  idx= 2841 | 본예산      | 세부: 노숙인 및 행려환자 지원             | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο노숙인 구료비                       | 식: 1,500,000원                | 1,500.000000천원
  idx= 2842 | 본예산      | 세부: 의료급여사업 행정 지원              | 목: 사무관리비           | 근거: Ο의료급여사업 행정비                    | 식: 6,439,000원                | 6,439.000000천원
  idx= 2843 | 본예산      | 세부: 의료급여사업 행정 지원              | 목: 공공운영비           | 근거: Ο의료급여 사례관리 통신비                 | 식: 300,000원                  |   300.000000천원
  idx= 2844 | 본예산      | 세부: 의료급여수급자 진료비               | 목: 자치단체간부담금        | 근거: Ο의료급여수급자 진료비 및 건강생활 유지비        | 식: 4,986,976,000원            | 4,986,976.000000천원
  idx= 2845 | 추경1회     | 세부: 의료급여수급자 진료비               | 목: 자치단체간부담금        | 근거: Ο의료급여수급자 진료비 및 건강생활 유지비        | 식: 경정 5,192,084,000원         | 5,192,084.000000천원
  idx= 2846 | 본예산      | 세부: 의료급여업무 위탁심사 수수료           | 목: 자치단체간부담금        | 근거: Ο의료급여업무 위탁심사 수수료               | 식: 7,680,000원                | 7,680.000000천원
  idx= 2847 | 본예산      | 세부: 의료급여수급자 본인부담금 지원          | 목: 사회보장적수혜금(국고보조재원) | 근거: Ο의료급여수급자 본인부담금 지원              | 식: 1,127,477,000원            | 1,127,477.000000천원
  idx= 2848 | 추경1회     | 세부: 의료급여수급자 본인부담금 지원          | 목: 사회보장적수혜금(국고보조재원) | 근거: Ο의료급여수급자 본인부담금 지원              | 식: 경정 1,120,198,000원         | 1,120,198.000000천원
  idx= 2849 | 본예산      | 세부: 재가의료급여 사업                 | 목: 사회보장적수혜금(국고보조재원) | 근거: Ο재가의료급여 사업                     | 식: 12,800,000원               | 12,800.000000천원
  idx= 2850 | 본예산      | 세부: 도단위 자활근로사업(탈수급 유지지원사업)    | 목: 사회복지사업보조        | 근거: Ο탈수급 유지지원사업                    | 식: 35,000,000원               | 35,000.000000천원
  idx= 2851 | 추경1회     | 세부: 도단위 자활근로사업(탈수급 유지지원사업)    | 목: 사회복지사업보조        | 근거: Ο탈수급 유지지원사업                    | 식: 경정 45,947,000원            | 45,947.000000천원
  idx= 2852 | 본예산      | 세부: 도단위 자활근로사업(자활 교육훈련 지원)    | 목: 사회복지사업보조        | 근거: Ο교육훈련 지원                       | 식: 8,660,000원                | 8,660.000000천원
  idx= 2853 | 추경1회     | 세부: 도단위 자활근로사업(자활 교육훈련 지원)    | 목: 사회복지사업보조        | 근거: Ο교육훈련 지원                       | 식: 경정 10,000,000원            | 10,000.000000천원
  idx= 2854 | 본예산      | 세부: 자활근로, 지역자활센터 및 광역자활센터 운영(자활근로사업) | 목: 민간위탁금           | 근거: Ο자활근로 민간위탁                     | 식: 2,777,500,000원            | 2,777,500.000000천원
  idx= 2855 | 본예산      | 세부: 도단위 자활근로사업(깔끄미사업)         | 목: 사회복지사업보조        | 근거: Ο깔끄미사업                         | 식: 42,930,000원               | 42,930.000000천원
  idx= 2856 | 본예산      | 세부: 근로능력있는수급자의탈수급지원(청년)       | 목: 사회보장적수혜금(국고보조재원) | 근거: Ο근로능력있는수급자의탈수급지원(청년)           | 식: 3,430,282,000원            | 3,430,282.000000천원
  idx= 2857 | 본예산      | 세부: 근로능력있는수급자의탈수급지원           | 목: 사회보장적수혜금(국고보조재원) | 근거: Ο근로능력있는수급자의탈수급지원               | 식: 611,000,000원              | 611,000.000000천원
  idx= 2858 | 본예산      | 세부: 자활성공지원금                   | 목: 사회보장적수혜금(국고보조재원) | 근거: Ο자활성공지원금                       | 식: 5,200,000원                | 5,200.000000천원
