회계연도,예산구분,분야명,부문명,위원회명,정책사업명,단위사업명,회계코드,회계명,세부사업명,자체보조구분명,부서명,편성목,편성목명,통계목,통계목명,의무/재량구분,산출근거명,산출근거식,예산액,기정액,비교증감,국고보조금,Unnamed: 23,Unnamed: 24,균특보조금,Unnamed: 26,Unnamed: 27,기금보조금,Unnamed: 29,Unnamed: 30,특별교부세,Unnamed: 32,Unnamed: 33,분권교부세,Unnamed: 35,Unnamed: 36,광역보조금,Unnamed: 38,Unnamed: 39,재정보전금,Unnamed: 41,Unnamed: 42,특별조정교부금,Unnamed: 44,Unnamed: 45,자체재원,Unnamed: 47,Unnamed: 48,지방채,Unnamed: 50,Unnamed: 51,기타,Unnamed: 53,Unnamed: 54,예산액_num,기정액_num,비교증감_num,국고보조금_num,균특보조금_num,기금보조금_num,특별교부세_num,광역보조금_num,특별조정교부금_num,자체재원_num,예산액_원,예산액_억원,기정액_억원,비교증감_억원
2026,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100.0,일반회계,기본경비(시민소통관),자체,시민소통관,201.0,일반운영비,201-01,사무관리비,법정의무,Ο홍보물 및 일간지 구독료,"90,000원*12월","1,080",0,"1,080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,080",0,"1,080",0,0,0,0,0,0,1080,0,1080,0,0,0,0,0,0,1080,1080000.0,0.0108,0.0,0.0108
2026,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100.0,일반회계,기본경비(시민소통관),자체,시민소통관,202.0,여비,202-01,국내여비,법정의무,Ο기본업무추진,"10,000원*10명*5일*12월","6,000",0,"6,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,000",0,"6,000",0,0,0,0,0,0,6000,0,6000,0,0,0,0,0,0,6000,6000000.0,0.06,0.0,0.06
2026,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100.0,일반회계,기본경비(시민소통관),자체,시민소통관,203.0,업무추진비,203-04,부서운영업무추진비,법정의무,Ο15인 이하,"250,000원*12월","3,000",0,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000",0,"3,000",0,0,0,0,0,0,3000,0,3000,0,0,0,0,0,0,3000,3000000.0,0.03,0.0,0.03
2026,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100.0,일반회계,기본경비(시민소통관),자체,시민소통관,204.0,직무수행경비,204-01,직책급업무수행경비,법정의무,Ο5급,"100,000원*1명*12월","1,200",0,"1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,200",0,"1,200",0,0,0,0,0,0,1200,0,1200,0,0,0,0,0,0,1200,1200000.0,0.012,0.0,0.012
2026,추경1회,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,자체감사 실시,자체,감사관,201.0,일반운영비,201-01,사무관리비,재량,Ο상급기관 감사장 설치,"12,228,000원","12,228",0,"12,228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,228",0,"12,228",0,0,0,0,0,0,12228,0,12228,0,0,0,0,0,0,12228,12228000.0,0.12228,0.0,0.12228
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,자체감사 실시,자체,감사관,203.0,업무추진비,203-03,시책추진업무추진비,법정의무,Ο감사활동수행 업무추진,"5,580,000원","5,580",0,"5,580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,580",0,"5,580",0,0,0,0,0,0,5580,0,5580,0,0,0,0,0,0,5580,5580000.0,0.0558,0.0,0.0558
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,자체감사 실시,자체,감사관,204.0,직무수행경비,204-02,특정업무경비,법정의무,Ο감사담당,"80,000원*31명*12월","29,760",0,"29,760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,760",0,"29,760",0,0,0,0,0,0,29760,0,29760,0,0,0,0,0,0,29760,29760000.0,0.2976,0.0,0.2976
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,자체감사 실시,자체,감사관,301.0,일반보전금,301-14,기타보상금,재량,Ο청렴시민감사관 참여수당,"100,000원*5명*20회","10,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000",0,"10,000",0,0,0,0,0,0,10000,0,10000,0,0,0,0,0,0,10000,10000000.0,0.1,0.0,0.1
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,자체감사 실시,자체,감사관,405.0,자산취득비,405-01,자산및물품취득비,재량,Ο노트북,"1,500,000원*5개","7,500",0,"7,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,500",0,"7,500",0,0,0,0,0,0,7500,0,7500,0,0,0,0,0,0,7500,7500000.0,0.075,0.0,0.075
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,공직자 재산등록,자체,감사관,201.0,일반운영비,201-01,사무관리비,재량,Ο공직자윤리위원회 참여수당,"100,000원*5명*4회","2,000",0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000",0,"2,000",0,0,0,0,0,0,2000,0,2000,0,0,0,0,0,0,2000,2000000.0,0.02,0.0,0.02
