회계연도,예산구분,분야명,부문명,위원회명,정책사업명,단위사업명,회계코드,회계명,세부사업명,자체보조구분명,부서명,편성목,편성목명,통계목,통계목명,의무/재량구분,산출근거명,산출근거식,예산액,기정액,비교증감,국고보조금,,,균특보조금,,,기금보조금,,,특별교부세,,,분권교부세,,,광역보조금,,,재정보전금,,,특별조정교부금,,,자체재원,,,지방채,,,기타,,
,,,,,,,,,,,,,,,,,,,,,,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,청렴시책추진,자체,감사관,201,일반운영비,201-01,사무관리비,재량,Ο공모전 심사수당,"70,000원*2명*5일",700,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,700,0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,청렴시책추진,자체,감사관,301,일반보전금,301-14,기타보상금,재량,Ο부조리 신고 보상금,"5,000,000원","5,000",0,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,000",0,"5,000",0,0,0,0,0,0
2024,추경3회,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,청렴시책추진,자체,감사관,301,일반보전금,301-14,기타보상금,재량,Ο부조리 신고 보상금,"경정 22,031,000원","22,031","5,000","17,031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,031","5,000","17,031",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,청렴시책추진,자체,감사관,303,포상금,303-01,포상금,재량,Ο청렴성실 부서 및 공무원,"7,600,000원","7,600",0,"7,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,600",0,"7,600",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(감사관),기본경비(감사관),100,일반회계,기본경비(감사관),자체,감사관,201,일반운영비,201-01,사무관리비,법정의무,Ο일반수용비,"60,000원*31명*12월","22,320",0,"22,320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,320",0,"22,320",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(감사관),기본경비(감사관),100,일반회계,기본경비(감사관),자체,감사관,201,일반운영비,201-01,사무관리비,법정의무,Ο급량비,"8,000원*31명*4일*12월","11,904",0,"11,904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,904",0,"11,904",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(감사관),기본경비(감사관),100,일반회계,기본경비(감사관),자체,감사관,201,일반운영비,201-01,사무관리비,,Ο행정장비 운영,,"11,400",0,"11,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,400",0,"11,400",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(감사관),기본경비(감사관),100,일반회계,기본경비(감사관),자체,감사관,201,일반운영비,201-01,사무관리비,법정의무,  ο소모품,"300,000원*7대*4회","8,400",0,"8,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,400",0,"8,400",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(감사관),기본경비(감사관),100,일반회계,기본경비(감사관),자체,감사관,201,일반운영비,201-01,사무관리비,법정의무,  ο장비유지,"3,000,000원","3,000",0,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000",0,"3,000",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(감사관),기본경비(감사관),100,일반회계,기본경비(감사관),자체,감사관,201,일반운영비,201-01,사무관리비,법정의무,Ο홍보물 및 일간지 구독료,"90,000원*12월","1,080",0,"1,080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,080",0,"1,080",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(감사관),기본경비(감사관),100,일반회계,기본경비(감사관),자체,감사관,202,여비,202-01,국내여비,법정의무,Ο기본업무추진,"10,000원*31명*4일*12월","14,880",0,"14,880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,880",0,"14,880",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(감사관),기본경비(감사관),100,일반회계,기본경비(감사관),자체,감사관,203,업무추진비,203-04,부서운영업무추진비,법정의무,Ο31인 이상(31인),"405,000원*12월","4,860",0,"4,860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,860",0,"4,860",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시정 인지도 강화,대중매체 활용 시정홍보,100,일반회계,대중매체 활용 시정홍보,자체,공보관,203,업무추진비,203-03,시책추진업무추진비,법정의무,Ο언론 대중매체 활용 시정 홍보 업무추진,"29,520,000원","29,520",0,"29,520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,520",0,"29,520",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시정 인지도 강화,대중매체 활용 시정홍보,100,일반회계,대중매체 활용 시정홍보,자체,공보관,301,일반보전금,301-14,기타보상금,재량,Ο홍보대사 활동 지원,"24,000,000원","24,000",0,"24,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,000",0,"24,000",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시정 인지도 강화,대중매체 활용 시정홍보,100,일반회계,대중매체 활용 시정홍보,자체,공보관,308,자치단체등이전,308-13,공기관등에대한경상적위탁사업비,재량,Ο대중집합장소 매체 활용 홍보,"85,000,000원","85,000",0,"85,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"85,000",0,"85,000",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시정 인지도 강화,대중매체 활용 시정홍보,100,일반회계,대중매체 활용 시정홍보,자체,공보관,308,자치단체등이전,308-13,공기관등에대한경상적위탁사업비,재량,Ο교통매체 활용 시정홍보,"74,760,000원","74,760",0,"74,760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"74,760",0,"74,760",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시정 인지도 강화,대중매체 활용 시정홍보,100,일반회계,대중매체 활용 시정홍보,자체,공보관,308,자치단체등이전,308-13,공기관등에대한경상적위탁사업비,재량,Ο아파트 엘리베이터 모니터 활용 홍보,"100,000,000원","100,000",0,"100,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000",0,"100,000",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시정 인지도 강화,대중매체 활용 시정홍보,100,일반회계,대중매체 활용 시정홍보,자체,공보관,308,자치단체등이전,308-13,공기관등에대한경상적위탁사업비,재량,Ο뉴스비전 활용 시정홍보,"21,960,000원","21,960",0,"21,960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,960",0,"21,960",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시정 인지도 강화,자체 홍보매체 제작 및 관리,100,일반회계,시정홍보시설물 운영 관리,자체,공보관,201,일반운영비,201-01,사무관리비,재량,Ο디지털 홍보매체 및 실시간 영상중계시스템 운영관리,"90,000,000원","90,000",0,"90,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"90,000",0,"90,000",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시정 인지도 강화,자체 홍보매체 제작 및 관리,100,일반회계,시정홍보시설물 운영 관리,자체,공보관,201,일반운영비,201-02,공공운영비,재량,Ο방송 및 음향 디지털시스템 수선 유지비,"27,000,000원","27,000",0,"27,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,000",0,"27,000",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,시정 인지도 강화,자체 홍보매체 제작 및 관리,100,일반회계,시정홍보시설물 운영 관리,자체,공보관,201,일반운영비,201-02,공공운영비,,Ο통신회선 사용료,,"72,237",0,"72,237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"72,237",0,"72,237",0,0,0,0,0,0
